070,a,9,"whichever, whichsoever (of two)",
209014,L9533520,n,9,"the ancient name of Beneventum, in the Samnite territory",
209015,L1985101,n,9,a city in Thessaly,2775
209016,L9861531,n,9,a Roman cognomen in the gens Cornelia,2792
209017,L3418108,a,9,of or belonging to a Mamercus,
209018,L3408290,n,9,the Oscan name for Mars,
209021,L8891340,n,9,ancient Roman goddesses who presided over the submanes,1666
209022,L2524720,n,9,a Roman cognomen,2792
209023,L6824497,n,9,"a general in Spain, who sided with the Romans in the second Punic war",2798
209024,L9883163,n,9,"a city of the Salentines, in Lower Italy, between Aletium and Tarentum, still called Manduria",2775
209025,L4855122,n,9,"a heretical Christian sect, Prud",
209026,L6201158,a,9,"of or belonging to a Manilius, Manilian",
209027,L7840770,a,9,"of or belonging to a Manlius, Manlian",
209028,L3319710,n,9,"a city of Arcadia, celebrated for the victory of Epaminondas over the Spartans",2775
209029,L8472145,n,9,"the daughter of Tiresias, a prophetess, and mother of the seer Mopsus",
209030,L6059245,n,9,"a city of Gallia Transpadana, on the Mincius, in whose vicinity was Andes, the birthplace of Virgil, still called Mantua",2775
209031,L1193640,n,9,"an ancient Phoenician city, opposite the island of Arados, near the modern Ainel-Hye",2775
209032,L4832240,n,9,a favorite of Tibullus,
209033,L6310396,n,9,a festival in honor of the Marcelli in Syracuse,
209034,L8995470,a,9,of or belonging to the heretic Marcion,
209035,L2173987,a,9,"of or belonging to a Marcius, Marcian",
209036,L1379090,n,9,a chief city of Spain,2775
209037,L2033074,n,9,"a plundering race dwelling in the highlands between Media, Susiana, and Persis, near the Hyrcanians",
209038,L7799208,n,9,"a lake and city of Lower Egypt, not far from Alexandria, Edict",2775
209039,L6768469,n,9,a region of Thrace,2775
209040,L3952250,n,9,"a country of Asia, beyond the Caspian Sea, between Bactria and Hyrcania",
209041,L3988543,n,9,a river of Moesia,2775
209042,L1623880,n,9,a town of the Parthians,2775
209043,L5425725,n,9,a people of Bithynia,1696
209044,L9410745,n,9,"a nymph in the territory of Minturnae, on the river Liris, the fabled mother of the Latins",2775
209045,L1060870,n,9,"a title of a comedy of Eupolis, directed against Hyperbolus",
209046,L6610502,n,9,an ancient town of Cyprus,2775
209047,L4516178,a,9,"of or belonging to Marmarica, Marmaric",
209048,L1614904,n,9,"a man from Marmarica, a Marmarican",
209049,L7748108,n,9,"a mountain in Sicily, near the river Himera",2775
209051,L2183007,n,9,"a city in Latium, the capital of the Marsians",2775
209052,L5806639,n,9,"a people of Italy, on the Adriatic coast, near the river Aternus, whose chief city was Teate, now Chieti",2775
209053,L6848910,a,9,Of or belonging to Mars,
209054,L3262330,a,9,"of or belonging to the Marsi, Marsian",
209055,L7562700,n,9,an epigrammatic poet in the time of Augustus,
209057,L7485900,n,9,"a Roman epigrammatic and satiric poet in the time of Domitian, Nerva, and Trajan",2737
209058,L4106068,n,9,a town in Batica,2775
209059,L1659534,n,9,"a fortress in Judaea, now Sebbeh",
209060,L3071525,n,9,a people of Mauritania,1696
209061,L2379079,n,9,a mountain in Lycia,2775
209062,L3062012,n,9,"a king of Numidia, grandfather of Jugurtha, at first the enemy and afterwards the friend and ally of the Romans",
209063,L4388556,n,9,a cognomen of the gens Papiria,2792
209064,L1200820,n,9,a people in Africa,
209065,L4972701,n,9,"a Scythian people, to the east of the Caspian Sea, in the modern Sangaria and Mongolia",
209066,L4734580,n,9,a town of Arabia Felix,2775
209068,L2599667,n,9,"a people in Africa, to the east of the Massaesyli",
209069,L2967561,n,9,the inhabitants of the city of Mastaura in Lydia,2775
209070,L4363520,n,9,"a rich speculator, afterwards a bankrupt",
209071,L3194001,n,9,"a city in Umbria, the modern Matelica, Front",2775
209072,L7738968,n,9,"a mountain or promontory in Apulia, near the foot of Mount Garganus, now Matinata",2775
209073,L7332463,n,9,a false read,
209074,L9393384,n,9,"or Mattheus, St",
209075,L1008596,a,9,of or belonging to Mattiacum,
209076,L3670496,n,9,a Moor,
209077,L1633575,n,9,"a king of Caria, husband of Artemisia",
209078,L2804284,a,9,of or belonging to Mavors or Mars,
209079,L5405975,n,9,"the chief city of Cappadocia, now Kaisariyeh, Auct",2775
209080,L1448564,n,9,a people of Numidia,1696
209081,L7641815,n,9,"the name of an Egyptian month, answering nearly to the Roman January and a part of February",
209082,L4636090,n,9,"a celebrated sorceress, daughter of Aeetes, king of Colchis",
209083,L5441574,n,9,a city in Dalmatia,2775
209084,L7365655,n,9,the Medes,
209085,L2951861,a,9,"of or belonging to Milan, Milanese",
209086,L7184412,n,9,a city of Acarnania,2775
209088,L2156476,n,9,"a little town in Latium, near the modern Monte Verde",2775
209089,L6449078,n,9,son of Aegeus and Medea,
209090,L8559112,n,9,daughter of Phorcus,
209091,L9397128,n,9,a priest of Diana at Ephesus,
209092,L5176580,n,9,an epithet of the Magna Mater,
209093,L8868394,n,9,"a small island of Campania, the modern Castel dell'Ovo",2775
209094,L5435069,n,9,the father of Theotimus,
209095,L5147769,n,9,"a city of Arcadia, the birthplace of Polybius",2775
209096,L6545335,n,9,a son of Proetus,
209097,L6160962,n,9,"wife of Hercules, whom, in his madness, he destroyed, together with her children",
209098,L9458135,a,9,2,
209099,L3756874,n,9,"a son of Neptune, and father of Hippomenes",
209101,L5113608,n,9,"a country of Greece, between Attica and Phocis",
209102,L5494090,n,9,"son of Phyleus, one of Helen's suitors",
209103,L5822764,n,9,daughter of Ceteus,
209104,L4209875,n,9,a town in the Samnite country,2775
209105,L5239198,n,9,"a place in Thessaly, near Scotussa",2775
209106,L1796580,n,9,"son of Amythaon, a celebrated physician and soothsayer",1566
209107,L1849541,n,9,"black-hair, the name of a dog",
209108,L5246200,n,9,Name of a Centaur,
209110,L7010384,n,9,a goatherd of Ulysses,
209111,L6344921,n,9,"a seanymph, daughter of Neptune",
209112,L2852575,n,9,a river in Sarmatia,2775
209113,L1852811,n,9,"a town of Thrace, between the Propontis and the Pontus Euxinus",2775
209114,L2836727,n,9,"son of the Calydonian king Oeneus and Althaea, one of the combatants at the Calydonian boar-hunt",
209115,L4459373,n,9,"a river in Ionia, near Smyrna, on the banks of which, it is said, Homer was born",2775
209116,L3539284,n,9,a people in Hispania Baetica,
209117,L7562277,n,9,one of the Muses,
209118,L2429480,n,9,son of Ino and the Theban king Athamas,
209119,L3888854,a,9,"Melos, of or belonging to the island of Melos, Melian",2775
209120,L1817288,n,9,"a king of Crete, father of Melissa and Amalthea",
209121,L1589769,n,9,the isle of Malta,
209122,L5528822,a,9,"of or belonging to the Dalmatian island Melita, Melitaean",2775
209139,L6826100,n,9,"a poet of Ephesus, who wrote of husbandry",
209155,L8631400,n,9,the famous friend of Odysseus,
209124,L4609323,a,9,Melian,
209125,L3290525,n,9,"a river in Upper Italy, near Brescia, now Mella",2775
209126,L9200610,n,9,a city in Hispania Baetica,2775
209127,L4422419,n,9,"vox hibr., one who comes next in rank to the Proximus",
209128,L2628669,n,9,"an island in the Aegean Sea, one of the Cyclades, now Milo",2775
209129,L6743563,n,9,a country of Thessaly,
209130,L1059508,n,9,"one of the Memmian gens, a Memmiade, a Memmius",
209132,L3833545,n,9,"a city of Middle Egypt, celebrated as the residence of the Egyptian kings, now Metrahenny",2775
209133,L6786547,a,9,"of or from Menae, a city of Sicily, now Mineo",2775
209134,L3079886,n,9,"a sister of Antiope queen of the Amazons, taken prisoner by Hercules",
209135,L9718072,n,9,"the slayer of Tydeus, who, while dying, bit the head of Menalippus",
209136,L5751211,n,9,"a celebrated Greek comic poet, whom Terence took as his model",2748
209137,L4802285,a,9,of or belonging to the Egyptian maritime town Mendes,2775
209138,L1018427,n,9,an Asiatic rhetorician from Alabanda,
209140,L9894627,n,9,"An Eretrian philosopher, a disciple of Plato",1545
209141,L1794118,n,9,a city in Epirus,2775
209142,L4725404,n,9,"a mountain in Laconia, on the Eurotas, near Sparta",2775
209144,L6661271,a,9,Menenian,
209145,L2026900,n,9,"the name of an immoral person, Ov M",
209146,L7196601,n,9,"an island off the coast of Africa, near the Lesser Syrtis, the modern Jerbah",2775
209147,L3582890,n,9,a Cynic philosopher famous for his bitter sarcasms,1545
209148,L7945035,n,9,son of Lycaon,
209149,L7828046,n,9,"son of the Theban king Creon, who sacrificed kimself for his country",
209150,L7265650,n,9,"the son of Actor and father of Patroclus, one of the Argonauts",
209151,L9798068,n,9,a Roman cognomen,2792
209152,L7770885,n,9,the name of one of Plato's dialogues,
209153,L6165651,n,9,Of or belonging to the city of Mentesa,2775
209154,L7754608,n,9,a part of the shore of the German Ocean,
209156,L3110530,a,9,"Mercurius, of or belonging to the god Mercury",1666
209157,L7961898,a,9,"of or belonging to the city of Merinum, in Apulia",2775
209159,L5102894,n,9,one of the Centaurs present at the wedding of Pirithous,
209160,L2438161,n,9,"a large and celebrated island of the Nile, in Ethiopia, now the province of Atbar",2775
209161,L4109439,n,9,the mythic name of several persons,1566
209162,L5286014,n,9,"a king of Ethiopia, husband of Clymene, and reputed to be the father of Phaëthon",
209163,L9832782,n,9,"a river of Liguria, now Arosia",2775
209164,L6245062,n,9,"a city in Thrace, on the Black Sea, now Missiori",2775
209165,L1258414,n,9,"the midland, a name of the district of Babylonia",2775
209166,L7124606,n,9,"a sort of wine from Mesogis, a mountain of Lydia",2775
209167,L8829400,n,9,"a country of Asia, between the Euphrates and Tigris, now called Al-Jezireh",
209168,L4620598,n,9,a Roman cognomen in the gens Valeria,2792
209170,L1151024,n,9,the old name of a part of Lower Italy,
209171,L4494159,n,9,a fountain in Thessaly,
209172,L9165392,n,9,"the capital of Messenia, in the Peloponnesus, on the river Pamisos, now Maura-Matia",2775
209173,L2026990,n,9,"a wooded hill on the right bank of the Tiber, south-west of Veii",
209174,L1851918,n,9,"one of the fifty sons of Aegyptus, slain by his wife Cleopatra",
209175,L6128926,a,9,"Metallinum, of or belonging to the town of Metallinum, Metallinian",2775
209176,L4904140,n,9,"a town of Lucania, where Pythagoras lived and died, now Torre a Mare",2775
209177,L2501180,n,9,"Metaurus, of or belonging to the river Metaurus, in Umbria",2775
209178,L6623536,n,9,the name of several rivers,2775
209179,L6859710,n,9,"Metellus, of or belonging to a Metellus, Metelline",
209180,L2093421,n,9,the father of Phorbas,
209182,L9159316,a,9,of or belonging to a Metilius,
209183,L8013406,n,9,"an island near the coast of Gaul, opposite the mouth of the Rhone",2775
209184,L3073701,n,9,an Italian proper name,
209185,L6969260,n,9,"Metrodorus Lampsacenus or Atheniensis, an Epicurean",
209187,L9241130,n,9,a Sabine praenomen,2792
209188,L4659690,n,9,"a city in Umbria, now Bevagna",2775
209189,L5380756,n,9,a woman fond of masculine sports,
209190,L6192991,n,9,"a male proper name, a tyrant of Caere or Agylla",
209191,L3307283,n,9,"the fictitious name of a parasite, Smallbiter",
209192,L4525189,n,9,a Hebrew name,
209194,L7168357,n,9,"one of the fifty sons of Aegyptus, who was slain by his wife",
209195,L5568287,n,9,"son of Gordius, and king of Phrygia",
209196,L9410130,n,9,"the name of a Messenian, who invented the cuirass",
209197,L2649866,n,9,"Midas, of or belonging to Midas",
209198,L2508902,n,9,the husband of Atalanta,
209200,L7577067,n,9,"the city of Miletus, in Caria, the birthplace of Thales",2775
209201,L1094399,n,9,a city in Numidia,2775
209202,L3976770,n,9,"a city of Italy, in the country of the Marsians",2775
209203,L6861178,n,9,a celebrated athlete of Crotona,
209204,L4954260,n,9,a name assumed by T,
209205,L8551664,n,9,the Bacchantes,
209206,L2647466,n,9,"a mountain range in Ionia, opposite the Isle of Chios, a branch of Mount Tmolus, still called Mimas",2775
209207,L3902456,n,9,"a people of Arabia, celebrated for their myrrh and frankincense",1696
209208,L9249494,n,9,"a river in Cisalpine Gaul, which runs by Mantua, a tributary of the Po, now Mincio",2775
209209,L9943288,n,9,"Minerva, of or belonging to Minerva, Minervan",
209210,L2364677,n,9,"Minerva, of or belonging to Minerva, Minervian",
209211,L7439116,n,9,a female descendant of Minos,
209212,L5331457,a,9,"of or belonging to Minos, Minoan",
209214,L7082640,n,9,"a monster with the head of a bull and the body of a man, the fruit of the intercourse of Pasiphaë, the wife of Minos, with a bull",
209215,L6521626,n,9,"Minos, of or belonging to Minos, Minoan",
209216,L7950864,n,9,"a city of Latium, on the border of Campania, at the mouth of the Liris, in the neighborhood of which Marius concealed himself from Sylla in a marsh",2775
209217,L3282534,n,9,the daughter of Minyas,
209218,L1611273,a,9,of or belonging to Minyas,
209219,L1073706,n,9,"an old name of the river Orchomenos, in Thessaly",2775
209220,L3952278,n,9,a son of Masinissa,
209221,L2039880,n,9,"money-hater, a name comically formed by Plautus to signify usurer",
209222,L4590760,n,9,"a promontory, town, and harbor in Campania, now Punta di Miseno",2775
209223,L4158284,n,9,"Mithridates the Great, king of Pontus, who waged war with the Romans, was at last conquered by Pompey, and stabbed himself",
209224,L1999886,n,9,a river of Macedonia,2775
209225,L8219646,n,9,"the Muses, daughters of Mnemosyne",
209226,L1406474,n,9,"one of the Titans, daughter of Uranus and Gaea, and goddess of memory",1666
209227,L3714826,n,9,Acc,
209228,L8839121,n,9,a black ox consecrated to the sun-god at Heliopolis,1666
209229,L3239671,n,9,"an inhabitant of Moab, a Moabite",
209230,L7391675,n,9,the name of one of the Fates,
209231,L9190532,n,9,"the Moesians, a people in the modern Bulgaria and Servia",
209232,L5457810,n,9,"a city of Germany, the modern Mayence, or Mainz, Eutr",2775
209233,L1233676,n,9,in the relig,
209235,L6042565,n,9,"the Molossians, a people in the eastern part of Epirus",
209236,L9175730,n,9,"Molossus, Molossian",
209237,L5653972,a,9,"Molossis, the country of the Molossi, in the eastern part of Epirus",
209238,L8669171,n,9,the father of Meriones,
209239,L1593885,n,9,an epithet of Hercules,
209240,L6056640,n,9,"one of the Danaides, who killed her husband Eurysthenes",
209241,L5368099,n,9,the name of a Centaur,
209242,L3908592,n,9,"the adherents of Mopsus, in the city of Compsa, during the second Punic war",2775
209243,L1345467,n,9,"a hill in Thessaly, between Tempe and Larissa",
209244,L9514859,a,9,"of or belonging to Mopsopia, Mopsopian, Attic, Athenian",
209245,L5380375,n,9,"a city in Cilicia, on the river Pyramus, near the sea, also called Mopsos",2775
209246,L7297942,n,9,a soothsayer in Argos,
209247,L7818047,n,9,a people who anciently dwelt in Lucania,
209248,L2466766,n,9,the son of Sleep and god of dreams,1666
209249,L4122170,n,9,one of the Fates,
209251,L4858668,a,9,"of or belonging to a Mucius, Mucian",
209252,L3382762,a,9,"of or belonging to a Mulvius, Mulvian",
209253,L6488830,a,9,Milvian,
