,00229978,a,10,"changed for the worse in health or fitness: ""I feel worse today""; ""her cold is worse""",
186115,00798083,a,10,"producing exhaustion: ""an exhausting march""; ""the visit was especially wearing""",
186116,00798249,a,10,"requiring or showing effort: ""heavy breathing""; ""the subject made for labored reading""",
186119,00798785,a,10,"requiring or apparently requiring no effort: ""the swallows glided in an effortless way through the busy air""",
186120,00799004,a,10,"performing adroitly and without effort: ""her easy grace""; ""a facile hand""",
186117,00798408,a,10,"(of movement) slow and laborious; ""leaden steps""",
186123,00799667,a,10,"works well as a means or remedy: ""an effective reprimand""; ""a lotion that is effective in cases of prickly heat""",2234
186124,00799835,a,10,"lacking the power to produce a desired effect: ""laws that are inefficacious in stopping crime""",2234
186125,00800025,a,10,"being effective without wasting time or effort or expense: ""an efficient production manager""; ""efficient engines save gas""",
186130,00800955,a,10,"made efficient by stripping off nonessentials: ""short streamlined meetings""",
186136,00802172,a,10,"powerfully persuasive: ""a cogent argument""; ""a telling presentation""; ""a weighty argument""",
186129,00800852,a,10,used of gasoline; having a high octane number,
186137,00802335,a,10,"forceful and extreme and rigorous: ""drastic measures""",
186144,00803206,a,10,"lacking force; feeble: ""a forceless argument""",
186134,00801641,a,10,"characterized by or full of force or strength (often but not necessarily physical); ""a forceful speaker""; ""a forceful personality""; ""forceful measures""; ""a forceful plan for peace""",
186138,00802442,a,10,"sudden and strong: ""an emphatic no""",
186140,00802671,a,10,"impelled by physical force especially against resistance: ""forcible entry""; ""a real cop would get physical""; ""strong-arm tactics""",
186142,00803015,a,10,"marked by violent force: ""impetuous heving waves""",
186143,00803120,a,10,"quick and forceful: ""a sharp blow""",
186147,00803840,a,10,"rebounds readily: ""clean bouncy hair""; ""a lively tennis ball""; ""as resiliant as seasoned hickory""; ""springy turf""",2097
186148,00804053,a,10,"of a consistency requiring chewing: ""chewy caramels""",2097
186100,00794778,a,10,"not functioning: ""we can't work because the computer is down""",
186132,00801176,a,10,"not producing desired results; wasteful: ""an inefficient campaign against drugs""; ""outdated and inefficient design and methods""",
186151,00804602,a,10,(of gases) capable of expansion,2100
186153,00804932,a,10,bends and snaps back readily without breaking,2097
186154,00805032,a,10,having a texture resembling rubber,2097
186155,00805133,a,10,resembling a spring or the action of a spring,2097
186157,00805324,a,10,capable of being easily stretched and resuming former size or shape,2097
186158,00805460,a,10,(physics) having viscous as well as elastic properties,2097
186161,00805865,a,10,not resilient,2097
186165,00806322,a,10,filled by popular election rather than by appointment,
186166,00806435,a,10,subject to appointment,
186167,00806562,a,10,appointed by nomination,
186177,00807793,a,10,not required by rule or law,
186185,00809036,a,10,required as a prior condition or course of study,
186188,00809866,a,10,affecting extreme elegance in dress and manner,
186192,00810418,a,10,lavishly elegant and refined,
186194,00810705,a,10,(informal) luxuriously elegant,
186197,00811049,a,10,lacking in refinement or grace or good taste,
186159,00805573,a,10,"not elastic: ""economists speak of an inelastic price structure""",2097
186160,00805764,a,10,"lacking resilience or bounce: ""a dead tennis ball""",2097
186163,00806061,a,10,"subject to popular election: ""elective official""",
186164,00806210,a,10,"relating to or composed of electors: ""electoral college""",
186168,00806654,a,10,"filled by appointment rather than by election: ""a nonappointive office""",
186169,00806783,a,10,"appointed to a post or duty: ""assigned personnel""; ""assigned duties""",
186171,00807035,a,10,"selected for a job: ""the one appointed for guard duty""",
186172,00807145,a,10,"not assigned: ""unassigned personnel""",
186174,00807416,a,10,"not compulsory: ""elective surgery""; ""an elective course of study""",
186178,00807895,a,10,"morally or legally constraining or binding: ""attendance is obligatory""; ""an obligatory contribution""",
186179,00808196,a,10,"morally obligatory: ""my bounden duty""",
186208,00812981,a,10,disqualified by law or rule or provision,
186181,00808483,a,10,"required by etiquette or usage or fashion: ""instruction as to when and where a silk hat is de rigueur""",
186183,00808787,a,10,"morally binding or necessary: ""it is incumbent on me to attend""",
186184,00808912,a,10,"unavoidable: ""the routine but indispensable ceremonies of state""",
186187,00809716,a,10,"small and elegant: ""bijou villas""; ""can Americans be persuaded to pay out dollars for bijou cars?""",
186189,00809989,a,10,"elegant and sumptuous: ""a deluxe car""; ""luxe accommodations""; ""a luxury condominium""",
186191,00810300,a,10,"pretentiously elegant: ""a high-toned restaurant""",
186193,00810514,a,10,"free from what is tawdry or unbecoming: ""a neat style""; ""a neat set of rules""; ""she hated to have her neat plans upset""",
186199,00811479,a,10,"without artificial refinement or elegance: ""plain homely furniture""; ""homely manners""",
186196,00810929,a,10,polished and well-groomed; showing sophisticated elegance,
186201,00811939,a,10,"eligible for bail: ""a bailable defendant""",
186203,00812209,a,10,"qualified for by right according to law: ""we are all entitled to equal protection under the law""",
186206,00812649,a,10,"entitled to receive a pension: ""a pensionable employee""",
186205,00812538,a,10,"(sports) allowed by official rules; ""a legal pass receiver""",2638
186207,00812762,a,10,"not eligible: ""ineligible to vote""; ""ineligible for retirement benefits""",
186211,00813341,a,10,"having no right or entitlement: ""a distinction to which he was unentitled""",
186212,00813486,a,10,"of more than usual emotion: ""his behavior was highly emotional""",1502
186216,00814456,a,10,"fraught with great emotion: ""an atmosphere charged with excitement""; ""an emotionally charged speech""",1502
186175,00807536,a,10,"as a favor; not compelled by legal right: ""ex gratia payments made to nonstriking workers""",
186156,00805235,a,10,"easily stretched: ""stretch hosiery""",2097
186210,00813219,a,10,not worthy of being chosen (especially as a spouse),
186213,00813947,a,10,characterized by emotion,1502
186215,00814355,a,10,emotionally purging (of e.g. art),1502
186217,00814625,a,10,(of jazz) having the soulful feeling of early blues,2536
186283,00826169,a,10,discouraging by hindering,
186152,00804728,a,10,"capable of being molded or modeled (especially of earth or clay or other soft material); ""plastic substances such as wax or clay""",2097
186224,00815757,a,10,excessively or abnormally emotional,1502
186226,00815973,a,10,used of music,2536
186227,00816043,a,10,unsusceptible to or destitute of or showing no emotion,1502
186236,00818181,a,10,requiring evidence for validation or support,
186237,00818284,a,10,capable of being verified or disproved by experiment or observation,
186241,00819124,a,10,relying to some extent on observation or experiment,
186245,00819925,a,10,based on hypothesis or theory rather than experiment,
186259,00822609,a,10,working for yourself,
186264,00823368,a,10,having lost your job,
186266,00823667,a,10,physically and mentally capable of working a a regular job and available,
186268,00823936,a,10,influenced as by charms or incantations,
186269,00824085,a,10,filled with wonder and delight,
186270,00824230,a,10,under a spell,
186271,00824313,a,10,having your attention fixated as though by a spell,
186272,00824498,a,10,freed from enchantment,
186274,00824843,a,10,freed from illusion,
186276,00825200,a,10,giving strong encouragement,
186219,00814987,a,10,"prone to emotion: ""hot-blooded Latin-Americans""",1502
186225,00815852,a,10,"full of or expressing deep emotion: ""soulful eyes""; ""soulful music""",1502
186229,00816552,a,10,"lacking warmth or emotional involvement: ""a dry greeting""; ""a dry reading of the lines""; ""a dry critique""",1502
186232,00817343,a,10,"showing little emotion: ""a phlegmatic...and certainly undemonstrative man""",1502
186231,00817110,a,10,"characterized by the attitude of a philosopher; meeting trouble with level-headed detachment; ""philosophical resignation""; ""a philosophic attitude toward life""",1502
186239,00818721,a,10,"relying on observation or experiment: ""experimental results that supported the hypothesis""",
186254,00821573,a,10,"concerned with theory and data rather than practice; opposed to applied: ""pure science""",
186243,00819481,a,10,"concerned primarily with theories or hypotheses rather than practical considerations: ""theoretical science""",
186244,00819784,a,10,"of an abstracting nature or having the power of abstracting: ""abstractive analysis""",
186246,00820032,a,10,"based primarily on surmise rather than adequate evidence: ""theories about the extinction of dinosaurs are still highly conjectural""; ""the supposed reason for his absence""; ""suppositious reconstructions of dead languages""; ""supposititious hypotheses""",
186248,00820554,a,10,"not based on fact or investigation: ""a notional figure of cost helps in determining production costs""; ""speculative knowledge""",
